PID,id,Block,Type,Trial,Cue Time,Action,Action Time,Reward,Reward Time,RT,Spin Speed,Craving Rating,Mood Rating,pid_db
58595b56a3149800011e156e,154,1,money,24,1647965189.154,1,1647965189.604,1,1647965194.137,0.4500000476837158,slow,28.0,-1.0,2
58595b56a3149800011e156e,155,1,money,25,1647965197.654,1,1647965198.372,0,1647965201.388,0.7179999351501465,fast,31.0,29.0,2
58595b56a3149800011e156e,156,1,money,26,1647965208.373,0,1647965208.923,1,1647965211.941,0.5500001907348633,fast,-1.0,-1.0,2
58595b56a3149800011e156e,157,1,money,27,1647965212.974,0,1647965213.006,1,1647965217.525,0.0320000648498535,slow,-1.0,-1.0,2
58595b56a3149800011e156e,158,1,money,28,1647965218.559,0,1647965218.791,0,1647965223.309,0.2319998741149902,slow,-1.0,-1.0,2
58595b56a3149800011e156e,159,1,money,29,1647965224.343,0,1647965224.558,1,1647965227.575,0.2150001525878906,fast,30.0,-1.0,2
58595b56a3149800011e156e,160,1,money,30,1647965231.543,0,1647965232.376,1,1647965236.894,0.8329999446868896,slow,-1.0,-1.0,2
58595b56a3149800011e156e,161,1,money,31,1647965237.944,0,1647965238.144,1,1647965241.161,0.2000000476837158,fast,29.0,30.0,2
58595b56a3149800011e156e,162,1,money,32,1647965247.611,0,1647965248.145,1,1647965252.662,0.5339999198913574,slow,28.0,-1.0,2
58595b56a3149800011e156e,163,1,money,33,1647965256.363,0,1647965256.929,1,1647965261.446,0.5659999847412109,slow,-1.0,-1.0,2
58595b56a3149800011e156e,164,1,money,34,1647965262.48,0,1647965262.93,0,1647965265.948,0.4500000476837158,fast,29.0,27.0,2
58595b56a3149800011e156e,165,1,money,35,1647965272.248,0,1647965272.732,1,1647965275.749,0.4840002059936523,fast,-1.0,-1.0,2
58595b56a3149800011e156e,166,1,money,36,1647965276.782,0,1647965276.915,0,1647965281.45,0.1329998970031738,slow,50.0,-1.0,2
58595b56a3149800011e156e,167,1,money,37,1647965289.1,1,1647965289.984,1,1647965293.001,0.8840000629425049,fast,29.0,-1.0,2
58595b56a3149800011e156e,168,1,money,38,1647965297.568,1,1647965298.152,1,1647965301.185,0.5839998722076416,fast,-1.0,-1.0,2
58595b56a3149800011e156e,169,1,money,39,1647965302.219,1,1647965302.436,1,1647965306.954,0.2170000076293945,slow,-1.0,-1.0,2
58595b56a3149800011e156e,170,1,money,40,1647965307.989,1,1647965308.654,1,1647965311.672,0.6649999618530273,fast,-1.0,-1.0,2
58595b56a3149800011e156e,171,1,money,41,1647965312.704,1,1647965313.671,1,1647965316.689,0.9670000076293944,fast,-1.0,-1.0,2
58595b56a3149800011e156e,172,1,money,42,1647965317.738,1,1647965318.255,1,1647965322.772,0.5170001983642578,slow,30.0,33.0,2
58595b56a3149800011e156e,173,1,money,43,1647965330.19,1,1647965330.923,0,1647965333.94,0.7330000400543213,fast,-1.0,-1.0,2
58595b56a3149800011e156e,175,1,money,44,1647965334.973,0,1647965335.523,0,1647965340.04,0.5499999523162842,slow,-1.0,-1.0,2
58595b56a3149800011e156e,176,1,money,45,1647965341.091,0,1647965341.557,0,1647965346.075,0.4659998416900635,slow,-1.0,-1.0,2
58595b56a3149800011e156e,178,1,money,46,1647965347.126,1,1647965347.592,1,1647965350.61,0.4660000801086426,fast,-1.0,-1.0,2
58595b56a3149800011e156e,180,1,money,47,1647965351.643,1,1647965352.109,1,1647965355.143,0.4660000801086426,fast,30.0,-1.0,2
58595b56a3149800011e156e,182,1,money,48,1647965359.027,1,1647965359.66,0,1647965364.212,0.6330001354217529,slow,-1.0,-1.0,2
58595b56a3149800011e156e,184,1,money,49,1647965365.245,0,1647965365.795,1,1647965368.829,0.5500001907348633,fast,30.0,30.0,2
58595b56a3149800011e156e,185,1,money,50,1647965375.512,0,1647965376.18,1,1647965379.196,0.6679999828338623,fast,-1.0,-1.0,2
58595b56a3149800011e156e,187,1,money,51,1647965380.246,0,1647965380.729,0,1647965385.28,0.4830000400543213,slow,30.0,34.0,2
58595b56a3149800011e156e,189,1,money,52,1647965392.014,0,1647965392.58,1,1647965397.099,0.5659999847412109,slow,-1.0,-1.0,2
58595b56a3149800011e156e,191,1,money,53,1647965398.132,0,1647965398.665,1,1647965401.682,0.5329999923706055,fast,-1.0,-1.0,2
58595b56a3149800011e156e,193,1,money,54,1647965402.733,0,1647965403.267,0,1647965407.8,0.5339999198913574,slow,27.0,32.0,2
58595b56a3149800011e156e,195,1,money,55,1647965414.184,0,1647965414.884,1,1647965417.902,0.7000000476837158,fast,30.0,-1.0,2
58595b56a3149800011e156e,198,1,money,56,1647965422.351,0,1647965422.985,1,1647965427.504,0.6339998245239258,slow,-1.0,-1.0,2
58595b56a3149800011e156e,200,1,money,57,1647965428.536,0,1647965429.102,0,1647965433.62,0.5659999847412109,slow,-1.0,-1.0,2
58595b56a3149800011e156e,201,1,money,58,1647965434.671,0,1647965434.97,1,1647965438.004,0.2990000247955322,fast,-1.0,-1.0,2
58595b56a3149800011e156e,203,1,money,59,1647965439.039,0,1647965440.054,1,1647965443.072,1.0149998664855957,fast,-1.0,-1.0,2
58595b56a3149800011e156e,206,1,money,60,1647965444.104,0,1647965444.939,0,1647965449.473,0.8349997997283936,slow,30.0,26.0,2
58595b56a3149800011e156e,208,2,other,1,1647965462.541,1,1647965463.358,1,1647965466.375,0.817000150680542,fast,-1.0,-1.0,2
58595b56a3149800011e156e,209,2,other,2,1647965467.426,1,1647965467.508,1,1647965470.552,0.0819997787475586,fast,29.0,-1.0,2
58595b56a3149800011e156e,211,2,other,3,1647965474.31,1,1647965474.942,1,1647965479.478,0.6319999694824219,slow,-1.0,-1.0,2
58595b56a3149800011e156e,213,2,other,4,1647965480.51,1,1647965480.743,1,1647965485.261,0.2330000400543213,slow,-1.0,-1.0,2
58595b56a3149800011e156e,216,2,other,5,1647965486.295,1,1647965486.861,1,1647965489.877,0.5659999847412109,fast,32.0,30.0,2
