PID,id,Block,Type,Trial,Cue Time,Action,Action Time,Reward,Reward Time,RT,Spin Speed,Craving Rating,Mood Rating,pid_db,Q_left,Q_right,PE
5c284ae48e845b0001fc40aa,452,2,money,8,1647966670.918,0,1647966671.535,1,1647966676.056,0.6170001029968262,slow,-1.0,-1.0,4,0.987179916198734,0.2825925006088292,0.03061903652646658
5c284ae48e845b0001fc40aa,457,2,money,9,1647966677.091,0,1647966677.892,1,1647966682.413,0.8009998798370361,slow,13.0,-1.0,4,0.994632275626001,0.31197079287281076,0.01282008380126598
5c284ae48e845b0001fc40aa,461,2,money,10,1647966687.434,0,1647966688.92,1,1647966691.939,1.4860000610351562,fast,-1.0,-1.0,4,0.9977525525260312,0.33737919422334683,0.005367724373999017
5c284ae48e845b0001fc40aa,464,2,money,11,1647966692.973,0,1647966693.507,1,1647966696.527,0.5339999198913574,fast,-1.0,-1.0,4,0.9990590015812445,0.35935415632764267,0.0022474474739687667
5c284ae48e845b0001fc40aa,467,2,money,12,1647966697.562,0,1647966698.162,0,1647966702.684,0.5999999046325684,slow,-1.0,-1.0,4,0.4183025194672485,0.37835964009748446,-0.9990590015812445
5c284ae48e845b0001fc40aa,470,2,money,13,1647966703.735,1,1647966705.704,1,1647966708.723,1.969000101089477,fast,18.0,29.0,4,0.4293423063515256,0.7397213494516488,0.6216403599025155
5c284ae48e845b0001fc40aa,474,2,money,14,1647966717.181,1,1647966717.699,1,1647966722.22,0.5179998874664307,slow,-1.0,-1.0,4,0.43889028597742097,0.8910222368092472,0.2602786505483512
5c284ae48e845b0001fc40aa,476,2,money,15,1647966723.254,1,1647966723.805,0,1647966726.824,0.5510001182556152,fast,-1.0,-1.0,4,0.44714804637552696,0.3730679028653361,-0.8910222368092472
5c284ae48e845b0001fc40aa,478,2,money,16,1647966727.859,0,1647966728.493,0,1647966731.513,0.6340000629425049,fast,-1.0,-1.0,4,0.18721932746484587,0.3902202470013254,-0.44714804637552696
5c284ae48e845b0001fc40aa,484,2,money,17,1647966732.547,0,1647966732.8,0,1647966737.286,0.2530000209808349,slow,20.0,24.0,4,0.07838807943030206,0.40505479354316265,-0.18721932746484587
5c284ae48e845b0001fc40aa,486,2,money,18,1647966744.526,0,1647966744.942,0,1647966749.464,0.4159998893737793,slow,-1.0,-1.0,4,0.03282081545734177,0.4178847466596112,-0.07838807943030206
5c284ae48e845b0001fc40aa,489,2,money,19,1647966750.498,1,1647966752.066,0,1647966756.587,1.568000078201294,slow,-1.0,-1.0,4,0.09595077491862142,0.1749668859376501,-0.4178847466596112
5c284ae48e845b0001fc40aa,492,2,money,20,1647966757.622,1,1647966758.173,1,1647966761.193,0.5510001182556152,fast,-1.0,-1.0,4,0.15054997805888842,0.6545615126734577,0.8250331140623499
5c284ae48e845b0001fc40aa,493,2,money,21,1647966762.243,1,1647966763.261,1,1647966766.281,1.0179998874664309,fast,-1.0,-1.0,4,0.19777118664180485,0.8553661101687224,0.34543848732654225
5c284ae48e845b0001fc40aa,499,2,money,22,1647966767.316,1,1647966767.899,0,1647966772.42,0.5829999446868896,slow,21.0,25.0,4,0.23861138964445242,0.3581388070015601,-0.8553661101687224
5c284ae48e845b0001fc40aa,502,2,money,23,1647966780.812,0,1647966782.914,0,1647966787.436,2.101999998092652,slow,-1.0,-1.0,4,0.09990575662086057,0.3773085210201489,-0.23861138964445242
5c284ae48e845b0001fc40aa,508,2,money,24,1647966788.47,0,1647966788.712,0,1647966793.21,0.241999864578247,slow,24.0,-1.0,4,0.04183019184817308,0.393887830095798,-0.09990575662086057
5c284ae48e845b0001fc40aa,514,2,money,25,1647966798.029,1,1647966799.281,0,1647966802.3,1.251999855041504,fast,24.0,22.0,4,0.10374271357861425,0.16491946066827065,-0.393887830095798
5c284ae48e845b0001fc40aa,518,2,money,26,1647966812.21,0,1647966814.713,1,1647966817.733,2.503000020980835,fast,-1.0,-1.0,4,0.624740200120746,0.21019891995108092,0.8962572864213858
5c284ae48e845b0001fc40aa,522,2,money,27,1647966818.766,0,1647966821.286,1,1647966825.807,2.5199999809265137,slow,-1.0,-1.0,4,0.8428800306129846,0.2493597623872293,0.37525979987925395
5c284ae48e845b0001fc40aa,527,2,money,28,1647966826.858,0,1647966830.445,0,1647966834.966,3.586999893188477,slow,-1.0,-1.0,4,0.35291092904023136,0.283228797146022,-0.8428800306129846
5c284ae48e845b0001fc40aa,533,2,money,29,1647966836.0,1,1647966836.935,0,1647966839.955,0.934999942779541,fast,24.0,-1.0,4,0.3727870866134282,0.11858690952620851,-0.283228797146022
5c284ae48e845b0001fc40aa,537,2,money,30,1647966844.442,1,1647966846.465,1,1647966850.982,2.0230000019073486,slow,-1.0,-1.0,4,0.38997737747132977,0.6309554131907614,0.8814130904737915
5c284ae48e845b0001fc40aa,542,2,money,31,1647966852.033,1,1647966853.502,0,1647966856.523,1.4690001010894775,fast,25.0,24.0,4,0.40484474299160245,0.2641788308713129,-0.6309554131907614
5c284ae48e845b0001fc40aa,548,2,money,32,1647966865.079,0,1647966866.281,1,1647966870.802,1.2019999027252195,slow,23.0,-1.0,4,0.7508105696592884,0.2960453637558623,0.5951552570083976
5c284ae48e845b0001fc40aa,550,2,money,33,1647966885.066,0,1647966886.401,1,1647966890.922,1.3350000381469729,slow,-1.0,-1.0,4,0.8956652546334607,0.3236057695788165,0.24918943034071162
5c284ae48e845b0001fc40aa,556,2,money,34,1647966891.957,0,1647966893.642,1,1647966896.661,1.684999942779541,fast,23.0,27.0,4,0.9563154060113355,0.3474419356241728,0.1043347453665393
5c284ae48e845b0001fc40aa,560,2,money,35,1647966910.358,0,1647966914.847,1,1647966917.866,4.488999843597412,fast,-1.0,-1.0,4,0.9817094128590601,0.36805711870208635,0.04368459398866453
5c284ae48e845b0001fc40aa,566,2,money,36,1647966918.917,0,1647966919.651,0,1647966924.172,0.7339999675750732,slow,50.0,-1.0,4,0.41103830718076306,0.38588657049090247,-0.9817094128590601
